Ticker,Company,Sector,Industry,Country,Market Cap,ATR,Prev Close,Open,High,Low
CHY,Calamos Convertible and High Income Fund,Financial,Closed-End Fund - Debt,USA,1.10B,0.2,15.01,,,
CIBR,First Trust NASDAQ Cybersecurity ETF,Financial,Exchange Traded Fund,USA,-,0.8,45.71,,,
CID,VictoryShares International High Div Volatility Wtd ETF,Financial,Exchange Traded Fund,USA,-,0.3,30.55,,,
CIDM,Cinedigm Corp.,Communication Services,Entertainment,USA,184.11M,0.14,1.38,,,
CIGI,Colliers International Group Inc.,Real Estate,Real Estate Services,Canada,3.67B,2.61,92.51,,,
CIH,China Index Holdings Limited,Technology,Software - Application,China,188.22M,0.07,2.08,,,
CIIC,CIIG Merger Corp.,Financial,Shell Companies,USA,895.63M,2.32,28.28,,,
CIL,VictoryShares International Volatility Wtd ETF,Financial,Exchange Traded Fund,USA,-,0.33,42.34,,,
CINF,Cincinnati Financial Corporation,Financial,Insurance - Property & Casualty,USA,14.02B,2.83,87.32,,,
CIVB,"Civista Bancshares, Inc.",Financial,Banks - Regional,USA,304.61M,0.64,18.45,,,
CIZ,VictoryShares Developed Enhanced Volatility Wtd ETF,Financial,Exchange Traded Fund,USA,-,0.27,32.19,,,
CIZN,Citizens Holding Company,Financial,Banks - Regional,USA,118.30M,0.69,20.79,,,
CJJD,"China Jo-Jo Drugstores, Inc.",Healthcare,Pharmaceutical Retailers,China,45.92M,0.06,1.2,,,
CKPT,"Checkpoint Therapeutics, Inc.",Healthcare,Biotechnology,USA,247.25M,0.26,3.62,,,
CLAR,Clarus Corporation,Consumer Cyclical,Leisure,USA,507.80M,0.58,16.09,,,
CLBK,"Columbia Financial, Inc.",Financial,Banks - Regional,USA,1.82B,0.45,16.17,,,
CLBS,"Caladrius Biosciences, Inc.",Healthcare,Biotechnology,USA,46.13M,0.35,2.39,,,
CLCT,"Collectors Universe, Inc.",Industrials,Specialty Business Services,USA,826.68M,1.6,91.65,,,
CLDX,"Celldex Therapeutics, Inc.",Healthcare,Biotechnology,USA,722.32M,1.18,17.8,,,
CLEU,China Liberal Education Holdings Limited,Consumer Defensive,Education & Training Services,China,25.47M,0.35,3.9,,,
CLFD,"Clearfield, Inc.",Technology,Communication Equipment,USA,461.71M,1.62,33.05,,,
CLGN,CollPlant Biotechnologies Ltd.,Healthcare,Biotechnology,Israel,88.12M,1.02,14.59,,,
CLIR,ClearSign Technologies Corporation,Industrials,Pollution & Treatment Controls,USA,118.70M,0.28,3.97,,,
CLLS,Cellectis S.A.,Healthcare,Biotechnology,France,1.34B,2.42,31.27,,,
CLMT,"Calumet Specialty Products Partners, L.P.",Energy,Oil & Gas E&P,USA,275.92M,0.2,3.62,,,
CLNE,Clean Energy Fuels Corp.,Energy,Oil & Gas Refining & Marketing,USA,2.18B,1.03,10.57,,,
CLNN,Clene Inc.,Healthcare,Biotechnology,USA,427.39M,0.94,6.89,,,
CLOU,Global X Cloud Computing ETF Global X Cloud Computing ETF,Financial,Exchange Traded Fund,USA,-,0.54,28.6,,,
CLOV,"Clover Health Investments, Corp.",Healthcare,Healthcare Plans,USA,5.80B,1.24,13.55,,,
CLPS,CLPS Incorporation,Technology,Information Technology Services,Hong Kong,62.53M,0.34,3.74,,,
CLPT,"ClearPoint Neuro, Inc.",Healthcare,Medical Devices,USA,339.04M,1.69,22.32,,,
CLRB,"Cellectar Biosciences, Inc.",Healthcare,Biotechnology,USA,53.68M,0.19,1.94,,,
CLRO,"ClearOne, Inc.",Technology,Communication Equipment,USA,53.60M,0.18,2.83,,,
CLSD,"Clearside Biomedical, Inc.",Healthcare,Biotechnology,USA,208.11M,0.41,3.79,,,
CLSK,"CleanSpark, Inc.",Technology,Software - Infrastructure,USA,768.06M,4.2,27.96,,,
CLSN,Celsion Corporation,Healthcare,Biotechnology,USA,53.07M,0.23,1.37,,,
CLVR,Clever Leaves Holdings Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Colombia,249.53M,1.13,9.82,,,
CLVS,"Clovis Oncology, Inc.",Healthcare,Biotechnology,USA,630.19M,0.48,6.68,,,
CLWT,Euro Tech Holdings Company Limited,Industrials,Pollution & Treatment Controls,Hong Kong,12.36M,0.36,4.19,,,
CLXT,"Calyxt, Inc.",Consumer Defensive,Packaged Foods,USA,243.63M,0.64,7.91,,,
CMBM,Cambium Networks Corporation,Technology,Communication Equipment,USA,916.03M,1.87,34.45,,,
CMCO,Columbus McKinnon Corporation,Industrials,Farm & Heavy Construction Machinery,USA,1.05B,1.76,43.29,,,
CMCSA,Comcast Corporation,Communication Services,Entertainment,USA,226.80B,1.04,48.68,,,
CMCT,CIM Commercial Trust Corporation,Real Estate,REIT - Office,USA,238.12M,0.79,16.21,,,
CME,CME Group Inc.,Financial,Financial Data & Stock Exchanges,USA,66.87B,4.12,184.04,,,
CMLFU,"CM Life Sciences, Inc.",Financial,Shell Companies,USA,-,0.64,13.15,,,
CMLS,Cumulus Media Inc.,Communication Services,Broadcasting,USA,185.06M,0.62,9.37,,,
CMPI,"Checkmate Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,331.82M,1.54,14.9,,,
CMPR,Cimpress plc,Communication Services,Advertising Agencies,Ireland,2.54B,3.79,96.18,,,
CMPS,COMPASS Pathways plc,Healthcare,Medical Care Facilities,United Kingdom,1.75B,4.05,48.32,,,
CMRX,"Chimerix, Inc.",Healthcare,Biotechnology,USA,592.90M,0.72,9.28,,,
CMTL,Comtech Telecommunications Corp.,Technology,Communication Equipment,USA,604.14M,1.07,23.86,,,
CNBKA,"Century Bancorp, Inc.",Financial,Banks - Regional,USA,306.76M,2.53,83.36,,,
CNCE,"Concert Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,345.28M,0.7,10.8,,,
CNCR,Loncar Cancer Immunotherapy ETF,Financial,Exchange Traded Fund,USA,-,0.74,34.42,,,
CNDT,Conduent Incorporated,Technology,Information Technology Services,USA,1.10B,0.26,5.25,,,
CNET,ZW Data Action Technologies Inc.,Communication Services,Advertising Agencies,China,65.07M,0.35,2.41,,,
CNFR,"Conifer Holdings, Inc.",Financial,Insurance - Property & Casualty,USA,30.49M,0.31,3.15,,,
CNOB,"ConnectOne Bancorp, Inc.",Financial,Banks - Regional,USA,868.68M,0.81,21.55,,,
CNSL,"Consolidated Communications Holdings, Inc.",Communication Services,Telecom Services,USA,464.12M,0.23,5.72,,,
CNSP,"CNS Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,46.10M,0.21,2.04,,,
CNST,"Constellation Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,1.49B,2.16,34.07,,,
CNTG,Centogene N.V.,Healthcare,Diagnostics & Research,Germany,260.34M,0.58,12.24,,,
CNTY,"Century Casinos, Inc.",Consumer Cyclical,Resorts & Casinos,USA,219.48M,0.37,7.42,,,
CNXC,Concentrix Corporation,Technology,Information Technology Services,USA,6.25B,4.98,118.64,,,
CNXN,"PC Connection, Inc.",Technology,Electronics & Computer Distribution,USA,1.42B,1.73,53.1,,,
COCP,"Cocrystal Pharma, Inc.",Healthcare,Biotechnology,USA,146.58M,0.22,2.11,,,
CODA,"Coda Octopus Group, Inc.",Industrials,Aerospace & Defense,USA,66.19M,0.24,5.99,,,
CODX,"Co-Diagnostics, Inc.",Healthcare,Diagnostics & Research,USA,320.46M,0.72,11.76,,,
COGT,"Cogent Biosciences, Inc.",Healthcare,Biotechnology,USA,722.95M,0.97,11.45,,,
COHR,"Coherent, Inc.",Technology,Scientific & Technical Instruments,USA,5.13B,10.4,205.31,,,
COHU,"Cohu, Inc.",Technology,Semiconductor Equipment & Materials,USA,2.08B,2.19,48.36,,,
COKE,"Coca-Cola Consolidated, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,USA,2.49B,5.56,262.34,,,
COLB,"Columbia Banking System, Inc.",Financial,Banks - Regional,USA,3.05B,1.44,42,,,
COLL,"Collegium Pharmaceutical, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,766.72M,1.16,23.93,,,
COLM,Columbia Sportswear Company,Consumer Cyclical,Apparel Manufacturing,USA,6.19B,2.31,92.26,,,
COMM,"CommScope Holding Company, Inc.",Technology,Communication Equipment,USA,2.97B,0.5,14.73,,,
COMT,iShares Commodities Select Strategy ETF,Financial,Exchange Traded Fund,USA,-,0.31,27.54,,,
CONE,CyrusOne Inc.,Real Estate,REIT - Specialty,USA,8.31B,1.77,71,,,
CONN,"Conn's, Inc.",Consumer Cyclical,Specialty Retail,USA,398.11M,0.68,13.69,,,
CONX,CONX Corp.,Financial,Shell Companies,USA,788.36M,0.17,10.51,,,
CONXU,CONX Corp.,Financial,Shell Companies,USA,-,0.16,10.96,,,
COOP,Mr. Cooper Group Inc.,Financial,Mortgage Finance,USA,2.78B,1.06,29.9,,,
CORE,"Core-Mark Holding Company, Inc.",Consumer Defensive,Food Distribution,USA,1.55B,1.17,33.62,,,
CORT,Corcept Therapeutics Incorporated,Healthcare,Biotechnology,USA,3.20B,0.88,28.06,,,
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,USA,160.57B,5.54,362.3,,,
COUP,Coupa Software Incorporated,Technology,Software - Application,USA,25.52B,12.85,341.9,,,
COWN,Cowen Inc.,Financial,Capital Markets,USA,722.44M,1.31,27.18,,,
CPAH,CounterPath Corporation,Technology,Software - Application,Canada,21.96M,0.06,3.4,,,
CPHC,Canterbury Park Holding Corporation,Consumer Cyclical,Gambling,USA,62.72M,0.32,13.29,,,
CPIX,Cumberland Pharmaceuticals Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,USA,49.73M,0.12,3.3,,,
CPLP,Capital Product Partners L.P.,Industrials,Marine Shipping,Greece,176.96M,0.4,9.27,,,
CPRT,"Copart, Inc.",Industrials,Specialty Business Services,USA,27.40B,2.68,114.59,,,
CPRX,"Catalyst Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,377.42M,0.16,3.6,,,
CPSH,CPS Technologies Corporation,Technology,Electronic Components,USA,108.73M,1.11,8.3,,,
CPSI,"Computer Programs and Systems, Inc.",Healthcare,Health Information Services,USA,458.80M,0.87,30.73,,,
CPSS,"Consumer Portfolio Services, Inc.",Financial,Credit Services,USA,105.15M,0.21,4.48,,,
CPST,Capstone Turbine Corporation,Industrials,Specialty Industrial Machinery,USA,137.22M,1.17,12.23,,,
CPTA,Capitala Finance Corp.,Financial,Asset Management,USA,44.68M,0.52,16.48,,,
CRAI,"CRA International, Inc.",Industrials,Consulting Services,USA,477.40M,2.32,59.75,,,
CRBP,"Corbus Pharmaceuticals Holdings, Inc.",Healthcare,Biotechnology,USA,177.28M,0.18,2.11,,,
CRDF,"Cardiff Oncology, Inc.",Healthcare,Biotechnology,USA,559.82M,1.79,10.9,,,
CREE,"Cree, Inc.",Technology,Semiconductors,USA,13.31B,6.01,114.37,,,
CREG,China Recycling Energy Corporation,Industrials,Waste Management,China,19.37M,0.7,6.17,,,
CRESY,Cresud SACIF y A ADR,Consumer Defensive,Farm Products,Argentina,451.83M,0.35,5.31,,,
CREX,"Creative Realities, Inc.",Technology,Software - Application,USA,19.67M,0.17,1.85,,,
CRIS,"Curis, Inc.",Healthcare,Biotechnology,USA,830.88M,1.03,10.96,,,
CRMT,"America's Car-Mart, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,850.00M,4.49,125.74,,,
CRNC,Cerence Inc.,Technology,Software - Application,USA,4.45B,7.3,124.71,,,
CRNT,Ceragon Networks Ltd.,Technology,Communication Equipment,Israel,266.66M,0.55,5.06,,,
CRNX,"Crinetics Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,521.13M,0.81,15.22,,,
CRON,Cronos Group Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,3.79B,0.57,10.65,,,
CROX,"Crocs, Inc.",Consumer Cyclical,Footwear & Accessories,USA,5.00B,3.06,73.34,,,
CRSA,Crescent Acquisition Corp.,Financial,Shell Companies,USA,351.17M,0.29,10.7,,,
CRSP,CRISPR Therapeutics AG,Healthcare,Biotechnology,Switzerland,14.10B,13.57,188.49,,,
CRSR,"Corsair Gaming, Inc.",Technology,Computer Hardware,USA,3.73B,3.06,38.38,,,
CRTD,Creatd Inc.,Communication Services,Internet Content & Information,USA,41.64M,0.52,4.77,,,
CRTO,Criteo S.A.,Communication Services,Advertising Agencies,France,1.13B,0.98,18.9,,,
CRTX,"Cortexyme, Inc.",Healthcare,Biotechnology,USA,926.73M,2.06,32.1,,,
CRUS,"Cirrus Logic, Inc.",Technology,Semiconductors,USA,5.64B,2.69,98.56,,,
CRVL,CorVel Corporation,Financial,Insurance Brokers,USA,1.87B,3.01,104.4,,,
CRVS,"Corvus Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,115.63M,0.23,4.05,,,
CRWD,"CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure,USA,50.83B,9.7,223.52,,,
CRWS,"Crown Crafts, Inc.",Consumer Cyclical,Apparel Manufacturing,USA,77.83M,0.18,7.59,,,
CSB,VictoryShares US Small Cap High Div Volatility Wtd ETF,Financial,Exchange Traded Fund,USA,-,1.07,52.94,,,
CSBR,"Champions Oncology, Inc.",Healthcare,Biotechnology,USA,155.39M,0.52,11.64,,,
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,USA,188.01B,0.77,44.77,,,
CSCW,"Color Star Technology Co., Ltd.",Communication Services,Entertainment,USA,51.30M,0.1,0.86,,,
CSF,VictoryShares US Discovery Enhanced Volatility Wtd ETF,Financial,Exchange Traded Fund,USA,-,0.8,54.13,,,
CSGP,"CoStar Group, Inc.",Real Estate,Real Estate Services,USA,35.92B,26.37,896.05,,,
CSGS,"CSG Systems International, Inc.",Technology,Software - Infrastructure,USA,1.52B,1.07,45.78,,,
CSII,"Cardiovascular Systems, Inc.",Healthcare,Medical Devices,USA,1.91B,1.56,46.65,,,
CSIQ,Canadian Solar Inc.,Technology,Solar,Canada,4.04B,3.86,63,,,
CSML,IQ Chaikin U.S. Small Cap ETF,Financial,Exchange Traded Fund,USA,-,0.49,31.83,,,
CSOD,"Cornerstone OnDemand, Inc.",Technology,Software - Application,USA,2.75B,1.08,43.29,,,
CSPI,CSP Inc.,Technology,Information Technology Services,USA,43.96M,0.92,11.3,,,
CSQ,Calamos Strategic Total Return Fund,Financial,Closed-End Fund - Debt,USA,2.48B,0.24,16.02,,,
CSSE,"Chicken Soup for the Soul Entertainment, Inc.",Communication Services,Broadcasting,USA,290.88M,1.66,24,,,
CSTE,Caesarstone Ltd.,Industrials,Building Products & Equipment,Israel,483.94M,0.57,13.76,,,
CSTL,"Castle Biosciences, Inc.",Healthcare,Diagnostics & Research,USA,1.93B,5.42,79.17,,,
CSTR,"Capstar Financial Holdings, Inc.",Financial,Banks - Regional,USA,342.84M,0.5,15.09,,,
CSWC,Capital Southwest Corporation,Financial,Asset Management,USA,344.96M,0.4,18.31,,,
CSWI,"CSW Industrials, Inc.",Industrials,Specialty Industrial Machinery,USA,1.86B,3.87,126,,,
CSX,CSX Corporation,Industrials,Railroads,USA,67.08B,2.04,87.64,,,
CTAS,Cintas Corporation,Industrials,Specialty Business Services,USA,34.19B,9.07,324.48,,,
CTBI,"Community Trust Bancorp, Inc.",Financial,Banks - Regional,USA,698.82M,1.11,39.37,,,
CTEC,Global X CleanTech ETF,Financial,Exchange Traded Fund,USA,-,1.01,28.29,,,
CTG,"Computer Task Group, Incorporated",Technology,Information Technology Services,USA,104.99M,0.3,6.88,,,
CTHR,"Charles & Colvard, Ltd.",Consumer Cyclical,Luxury Goods,USA,40.75M,0.06,1.44,,,
CTIB,Yunhong CTI Ltd.,Consumer Cyclical,Auto Parts,USA,12.48M,0.1,2.02,,,
CTIC,CTI BioPharma Corp.,Healthcare,Biotechnology,USA,252.35M,0.17,3.37,,,
CTMX,"CytomX Therapeutics, Inc.",Healthcare,Biotechnology,USA,304.30M,0.46,6.65,,,
CTRE,"CareTrust REIT, Inc.",Real Estate,REIT - Healthcare Facilities,USA,2.21B,0.66,23.01,,,
CTRM,Castor Maritime Inc.,Industrials,Marine Shipping,Cyprus,147.61M,0.05,0.41,,,
CTRN,"Citi Trends, Inc.",Consumer Cyclical,Apparel Retail,USA,629.24M,2.59,61.27,,,
CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,USA,42.97B,1.64,80.56,,,
CTSO,Cytosorbents Corporation,Healthcare,Medical Devices,USA,425.16M,0.4,9.58,,,
CTXR,"Citius Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,70.70M,0.08,1.26,,,
CTXS,"Citrix Systems, Inc.",Technology,Software - Application,USA,15.60B,3.58,126.75,,,
CUBA,The Herzfeld Caribbean Basin Fund Inc.,Financial,Closed-End Fund - Equity,USA,34.53M,0.16,5.63,,,
CUE,"Cue Biopharma, Inc.",Healthcare,Biotechnology,USA,429.98M,0.87,14.07,,,
CURI,CuriosityStream Inc.,Communication Services,Entertainment,USA,707.82M,1.33,18.81,,,
CUTR,"Cutera, Inc.",Healthcare,Medical Devices,USA,476.72M,1.48,27.54,,,
CVAC,CureVac N.V.,Healthcare,Biotechnology,Germany,18.32B,7.05,102.69,,,
CVBF,CVB Financial Corp.,Financial,Banks - Regional,USA,2.97B,0.74,21.55,,,
CVCO,"Cavco Industries, Inc.",Consumer Cyclical,Residential Construction,USA,1.78B,6.87,195.1,,,
CVCY,Central Valley Community Bancorp,Financial,Banks - Regional,USA,201.75M,0.44,16.05,,,
CVET,"Covetrus, Inc.",Healthcare,Health Information Services,USA,5.15B,2.03,38.74,,,
CVGI,"Commercial Vehicle Group, Inc.",Consumer Cyclical,Auto Parts,USA,294.51M,0.5,8.93,,,
CVGW,"Calavo Growers, Inc.",Consumer Defensive,Packaged Foods,USA,1.30B,2.7,74.06,,,
CVLB,"Conversion Labs, Inc.",Healthcare,Pharmaceutical Retailers,USA,243.65M,1.11,11.08,,,
CVLG,"Covenant Logistics Group, Inc.",Industrials,Trucking,USA,277.12M,0.81,16,,,
CVLT,"Commvault Systems, Inc.",Technology,Software - Application,USA,2.81B,1.65,59.84,,,
CVLY,"Codorus Valley Bancorp, Inc.",Financial,Banks - Regional,USA,174.42M,0.5,17.51,,,
CVV,CVD Equipment Corporation,Industrials,Specialty Industrial Machinery,USA,33.52M,0.37,4.9,,,
CWBC,Community West Bancshares,Financial,Banks - Regional,USA,73.92M,0.22,8.8,,,
CWBR,"CohBar, Inc.",Healthcare,Biotechnology,USA,102.43M,0.12,1.73,,,
CWCO,Consolidated Water Co. Ltd.,Utilities,Utilities - Regulated Water,Cayman Islands,193.33M,0.44,12.82,,,
CWST,"Casella Waste Systems, Inc.",Industrials,Waste Management,USA,3.00B,1.77,59.71,,,
CXDC,China XD Plastics Company Limited,Consumer Cyclical,Auto Parts,China,87.89M,0.06,1.14,,,
CXDO,"Crexendo, Inc.",Technology,Information Technology Services,USA,133.84M,0.52,7.25,,,
CXSE,WisdomTree China ex-State-Owned Enterprises Fund,Financial,Exchange Traded Fund,USA,-,1.18,74.79,,,
CYAD,Celyad Oncology SA,Healthcare,Biotechnology,Belgium,-,0.45,8.34,,,
CYAN,Cyanotech Corporation,Consumer Defensive,Packaged Foods,USA,21.57M,0.17,3.49,,,
CYBE,CyberOptics Corporation,Technology,Scientific & Technical Instruments,USA,185.45M,1.3,26.12,,,
CYBR,CyberArk Software Ltd.,Technology,Software - Infrastructure,Israel,6.21B,6.72,162.26,,,
CYCC,"Cyclacel Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,48.74M,0.76,7.43,,,
CYCN,"Cyclerion Therapeutics, Inc.",Healthcare,Biotechnology,USA,120.80M,0.2,3.35,,,
CYRN,CYREN Ltd.,Technology,Software - Infrastructure,USA,69.92M,0.14,1.24,,,
CYRX,"Cryoport, Inc.",Industrials,Integrated Freight & Logistics,USA,3.42B,5.19,82.11,,,
CYTH,"Cyclo Therapeutics, Inc.",Healthcare,Biotechnology,USA,27.31M,0.67,6.15,,,
CYTK,"Cytokinetics, Incorporated",Healthcare,Biotechnology,USA,1.50B,1.13,20.36,,,
CZNC,Citizens & Northern Corporation,Financial,Banks - Regional,USA,333.70M,0.67,20.46,,,
CZR,"Caesars Entertainment, Inc.",Consumer Cyclical,Resorts & Casinos,USA,16.18B,3.07,79.53,,,
CZWI,"Citizens Community Bancorp, Inc.",Financial,Banks - Regional,USA,121.61M,0.28,10.8,,,
DADA,Dada Nexus Limited,Consumer Cyclical,Internet Retail,China,10.17B,3.24,44.95,,,
DAIO,Data I/O Corporation,Technology,Electronic Components,USA,43.84M,0.27,5.25,,,
DAKT,"Daktronics, Inc.",Technology,Computer Hardware,USA,326.30M,0.22,5.23,,,
DALI,First Trust Dorsey Wright DALI 1 ETF,Financial,Exchange Traded Fund,USA,-,0.25,23.35,,,
DARE,"Dare Bioscience, Inc.",Healthcare,Biotechnology,USA,129.97M,0.29,2.92,,,
DAX,Global X DAX Germany ETF,Financial,Exchange Traded Fund,USA,-,0.46,31.27,,,
DBDR,Roman DBDR Tech Acquisition Corp.,Financial,Shell Companies,USA,241.05M,0.14,10.41,,,
DBVT,DBV Technologies S.A.,Healthcare,Biotechnology,France,650.13M,0.47,5.93,,,
DBX,"Dropbox, Inc.",Technology,Software - Infrastructure,USA,9.42B,0.87,22.16,,,
DCBO,Docebo Inc.,Technology,Software - Application,Canada,1.73B,3.56,53.01,,,
DCOM,"Dime Community Bancshares, Inc.",Financial,Banks - Regional,USA,597.42M,0.63,17.67,,,
DCPH,"Deciphera Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,2.72B,2.45,46.76,,,
DCRB,Decarbonization Plus Acquisition Corporation,Financial,Shell Companies,USA,396.86M,0.48,13.68,,,
DCRBU,Decarbonization Plus Acquisition Corporation,Financial,Shell Companies,USA,-,0.74,15.2,,,
DCT,"Duck Creek Technologies, Inc.",Technology,Software - Application,USA,6.71B,2.47,49.96,,,
DCTH,"Delcath Systems, Inc.",Healthcare,Medical Devices,USA,97.14M,0.92,16.69,,,
DDIV,First Trust Dorsey Wright Momentum & Dividend ETF,Financial,Exchange Traded Fund,USA,-,0.24,25.63,,,
DDOG,"Datadog, Inc.",Technology,Software - Application,USA,32.62B,4.84,105,,,
DEMZ,Demz Political Contributions ETF,Financial,Exchange Traded Fund,USA,-,0.2,23.27,,,
DENN,Denny's Corporation,Consumer Cyclical,Restaurants,USA,993.26M,0.69,15.51,,,
DFFN,Diffusion Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,81.52M,0.13,1.23,,,
DFNL,Davis Select Financial ETF,Financial,Exchange Traded Fund,USA,-,0.39,24.63,,,
DGICA,Donegal Group Inc.,Financial,Insurance - Property & Casualty,USA,414.84M,0.25,14.3,,,
DGII,Digi International Inc.,Technology,Communication Equipment,USA,599.80M,0.75,19.98,,,
DGLY,"Digital Ally, Inc.",Industrials,Security & Protection Services,USA,75.76M,0.3,2.65,,,
DGNS,Dragoneer Growth Opportunities Corp. II,Financial,Shell Companies,USA,358.80M,0.58,13,,,
DGRE,WisdomTree Emerging Markets Quality Dividend Growth Fund,Financial,Exchange Traded Fund,USA,-,0.36,30.42,,,
DGRS,WisdomTree U.S. SmallCap Quality Dividend Growth Fund,Financial,Exchange Traded Fund,USA,-,0.68,41.94,,,
DGRW,WisdomTree U.S. Quality Dividend Growth Fund,Financial,Exchange Traded Fund,USA,-,0.5,54.61,,,
DHC,Diversified Healthcare Trust,Real Estate,REIT - Healthcare Facilities,USA,1.04B,0.23,4.42,,,
DHIL,"Diamond Hill Investment Group, Inc.",Financial,Asset Management,USA,492.86M,3.03,153.54,,,
DINT,Davis Select International ETF,Financial,Exchange Traded Fund,USA,-,0.29,24.75,,,
DIOD,Diodes Incorporated,Technology,Semiconductors,USA,4.28B,2.23,79.86,,,
DISCA,"Discovery, Inc.",Communication Services,Entertainment,USA,17.10B,1.18,37.49,,,
DISCK,"Discovery, Inc.",Communication Services,Entertainment,USA,-,1.01,32.89,,,
DISH,DISH Network Corporation,Communication Services,Entertainment,USA,16.36B,1.14,30.72,,,
DJCO,Daily Journal Corporation,Communication Services,Publishing,USA,476.00M,13.01,340,,,
DKNG,DraftKings Inc.,Financial,Shell Companies,USA,21.04B,2.76,52.53,,,
DLCAU,Deep Lake Capital Acquisition Corp.,Financial,Shell Companies,USA,-,0.29,10.7,,,
DLHC,DLH Holdings Corp.,Industrials,Specialty Business Services,USA,131.94M,0.61,10.43,,,
DLPN,"Dolphin Entertainment, Inc.",Communication Services,Entertainment,USA,27.36M,0.35,4.12,,,
DLTH,Duluth Holdings Inc.,Consumer Cyclical,Apparel Retail,USA,399.58M,0.61,12.31,,,
DLTR,"Dollar Tree, Inc.",Consumer Defensive,Discount Stores,USA,25.75B,2.46,107.88,,,
DMAC,DiaMedica Therapeutics Inc.,Healthcare,Biotechnology,USA,162.78M,0.79,8.89,,,
DMLP,"Dorchester Minerals, L.P.",Energy,Oil & Gas E&P,USA,440.66M,0.43,12.42,,,
DMRC,Digimarc Corporation,Technology,Information Technology Services,USA,651.13M,3.41,42.09,,,
DMTK,"DermTech, Inc.",Healthcare,Diagnostics & Research,USA,1.04B,3.96,42.92,,,
DNLI,Denali Therapeutics Inc.,Healthcare,Biotechnology,USA,9.61B,5.32,79.13,,,
DOCU,"DocuSign, Inc.",Technology,Software - Application,USA,47.78B,9.53,255.15,,,
DOGZ,Dogness (International) Corporation,Consumer Defensive,Household & Personal Products,China,71.17M,0.24,2.07,,,
DOMO,"Domo, Inc.",Technology,Software - Application,USA,2.16B,4.2,72.61,,,
DOOO,BRP Inc.,Consumer Cyclical,Recreational Vehicles,Canada,3.02B,2.14,68.64,,,
DORM,"Dorman Products, Inc.",Consumer Cyclical,Auto Parts,USA,3.19B,3.27,99.15,,,
DOX,Amdocs Limited,Technology,Software - Infrastructure,USA,9.32B,1.14,70.78,,,
DOYU,DouYu International Holdings Limited,Communication Services,Internet Content & Information,China,4.21B,0.54,12.81,,,
DRIO,DarioHealth Corp.,Healthcare,Diagnostics & Research,Israel,173.50M,1.59,21.99,,,
DRIV,Global X Autonomous & Electric Vehicles ETF,Financial,Exchange Traded Fund,USA,-,0.55,27.76,,,
DRNA,"Dicerna Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,1.91B,1.23,24.64,,,
DRRX,DURECT Corporation,Healthcare,Drug Manufacturers - Specialty & Generic,USA,475.16M,0.13,2.25,,,
DRTT,DIRTT Environmental Solutions Ltd.,Industrials,Engineering & Construction,Canada,193.07M,0.18,2.28,,,
DRVN,Driven Brands Holdings Inc.,Consumer Cyclical,Auto & Truck Dealerships,USA,-,2.98,29.79,,,
DSAC,Duddell Street Acquisition Corp.,Financial,Shell Companies,Hong Kong,179.90M,0.11,10.28,,,
DSACU,Duddell Street Acquisition Corp.,Financial,Shell Companies,Hong Kong,-,0.21,10.68,,,
DSGX,The Descartes Systems Group Inc,Technology,Software - Application,Canada,5.29B,1.71,62.5,,,
DSKE,"Daseke, Inc.",Industrials,Trucking,USA,385.82M,0.34,6.1,,,
DSPG,"DSP Group, Inc.",Technology,Semiconductors,USA,406.76M,0.62,16.65,,,
DSWL,"Deswell Industries, Inc.",Technology,Electronic Components,China,51.35M,0.12,3.24,,,
DTEA,DAVIDsTEA Inc.,Consumer Defensive,Packaged Foods,Canada,75.74M,0.27,2.84,,,
DTIL,"Precision BioSciences, Inc.",Healthcare,Biotechnology,USA,641.38M,1.11,13.29,,,
DTSS,Datasea Inc.,Technology,Software - Infrastructure,China,74.84M,0.44,3.46,,,
DUNEU,Dune Acquisition Corporation,Financial,Shell Companies,USA,-,0.31,11,,,
DUO,Fangdd Network Group Ltd.,Real Estate,Real Estate Services,China,704.72M,0.49,8.88,,,
