Ticker,Company,Sector,Industry,Country,Market Cap,ATR,Prev Close,Open,High,Low
ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,Financial,Exchange Traded Fund,USA,-,1.16,61.78,,,
ADSK,"Autodesk, Inc.",Technology,Software - Application,USA,66.34B,7.42,299.17,,,
ADTN,"ADTRAN, Inc.",Technology,Communication Equipment,USA,841.18M,0.61,17.51,,,
ADTX,"ADiTx Therapeutics, Inc.",Healthcare,Biotechnology,USA,46.01M,0.49,3.6,,,
ADUS,Addus HomeCare Corporation,Healthcare,Medical Care Facilities,USA,2.04B,3.45,127.8,,,
ADV,Advantage Solutions Inc.,Communication Services,Advertising Agencies,USA,3.57B,0.68,11.22,,,
ADVM,"Adverum Biotechnologies, Inc.",Healthcare,Biotechnology,USA,1.37B,0.97,13.39,,,
ADXN,Addex Therapeutics Ltd,Healthcare,Biotechnology,Switzerland,68.31M,2.36,12.12,,,
ADXS,"Advaxis, Inc.",Healthcare,Biotechnology,USA,72.59M,0.08,0.75,,,
AEGN,Aegion Corporation,Industrials,Engineering & Construction,USA,650.26M,0.83,20.63,,,
AEHL,Antelope Enterprise Holdings Limited,Industrials,Building Products & Equipment,China,8.54M,0.25,2.8,,,
AEHR,Aehr Test Systems,Technology,Semiconductor Equipment & Materials,USA,56.18M,0.16,2.4,,,
AEIS,"Advanced Energy Industries, Inc.",Industrials,Electrical Equipment & Parts,USA,4.64B,4.47,118.83,,,
AEMD,"Aethlon Medical, Inc.",Healthcare,Medical Devices,USA,32.95M,0.22,2.64,,,
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,USA,39.91B,1.76,82.08,,,
AERI,"Aerie Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,795.95M,0.81,16.81,,,
AESE,Allied Esports Entertainment Inc.,Communication Services,Entertainment,USA,64.14M,0.19,1.75,,,
AEY,"ADDvantage Technologies Group, Inc.",Technology,Electronics & Computer Distribution,USA,37.06M,0.23,3.04,,,
AEYE,"AudioEye, Inc.",Technology,Software - Application,USA,261.45M,2.09,24.9,,,
