Symbol,Name,% Holding,openhigh_mean,openhigh_std,openhigh_range,openlow_mean,openlow_std,openlow_range,range_mean,range_std,range_range
DVA,Davita Healthcare Partners Inc,0.03%,745491,,,,,,,,
NWL,Newell Rubbermaid Inc,0.02%,3903611,,,,,,,,
IVZ,Invesco Plc,0.02%,3888945,,,,,,,,
NCLH,Norwegian Cruise Ord,0.02%,3753736,,,,,,,,
DXC,Dxc Technology Company,0.02%,2629634,,,,,,,,
SEE,Sealed Air Corp,0.02%,1599769,,,,,,,,
GL,Globe Life Inc,0.02%,981614,,,,,,,,
MRO,Marathon Oil Corp,0.02%,8154809,,,,,,,,
ZION,Zions Bancorp,0.02%,1695953,,,,,,,,
TAP,Molson Coors Brewing Company,0.02%,1944375,,,,,,,,
WU,Western Union Company,0.02%,4244691,,,,,,,,
PNW,Pinnacle West Capital Corp,0.02%,1164015,,,,,,,,
BEN,Franklin Resources,0.02%,2818263,,,,,,,,
NWSA,News Cp Cl A,0.02%,4040035,,,,,,,,
CPB,Campbell Soup Company,0.02%,2096383,,,,,,,,
ROL,Rollins Inc,0.02%,2287059,,,,,,,,
OGN,Organon & CO,0.02%,2612470,,,,,,,,
HII,Huntington Ingalls Industries,0.02%,415954,,,,,,,,
FRT,Federal Realty Investment Trust,0.02%,717842,,,,,,,,
DISCK,Discovery Comm Inc,0.02%,2995130,,,,,,,,
PVH,Phillips-Van Heusen Corp,0.02%,734324,,,,,,,,
NLSN,Nielsen Holdings Plc,0.02%,3695541,,,,,,,,
ALK,Alaska Air Group,0.02%,1282917,,,,,,,,
PBCT,People's United Finl,0.02%,4395434,,,,,,,,
APA,Apa Corp,0.02%,3903158,,,,,,,,
HBI,Hanesbrands Inc,0.02%,3602640,,,,,,,,
VNO,Vornado Realty Trust,0.02%,1621030,,,,,,,,
LEG,Leggett & Platt Inc,0.02%,1373737,,,,,,,,
IPGP,Ipg Photonics Corp,0.02%,371201,,,,,,,,
GPS,Gap Inc,0.02%,2124910,,,,,,,,
COG,Cabot Oil & Gas Corp,0.02%,4125122,,,,,,,,
RL,Ralph Lauren Corp,0.02%,498122,,,,,,,,
PRGO,Perrigo Company,0.01%,1375229,,,,,,,,
UNM,Unumprovident Corp,0.01%,2104087,,,,,,,,
FOX,Fox Corp Cl B,0.01%,1587671,,,,,,,,
NOV,Nov Inc,0.01%,4010058,,,,,,,,
DISCA,Discovery Comm A,0.01%,1670592,,,,,,,,
UAA,Under Armour,0.01%,1952579,,,,,,,,
UA,Under Armour Inc Cl C,0.01%,2026510,,,,,,,,
GDX,,,,,,,,,,,
GDXJ,,,,,,,,,,,
JETS,,,,,,,,,,,
SMH,,,,,,,,,,,
XLB,,,,,,,,,,,
XLC,,,,,,,,,,,
XLE,,,,,,,,,,,
XLF,,,,,,,,,,,
XLI,,,,,,,,,,,
XLK,,,,,,,,,,,
XLP,,,,,,,,,,,
XLRE,,,,,,,,,,,
XLU,,,,,,,,,,,
XLV,,,,,,,,,,,
XLY,,,,,,,,,,,
SPY,,,,,,,,,,,
QQQ,,,,,,,,,,,
IWM,,,,,,,,,,,
