DATE,TIME,ALGO,SYMBOL,POSITION,RISK,REALIZED
2022-02-24,14:17:06,TEST,SPY.AM,Short,50.0,8.49
2022-02-24,14:17:41,TEST,SPY.AM,Short,50.0,-8.25
2022-02-24,14:17:47,TEST,SPY.AM,Long,50.0,8.07
